NodeID,节点,角色,Create,Read,Update,Approve,Delete,Export
A,客户报备,销售,True,True,True,False,False,False
A,客户报备,销售主管,True,True,True,True,False,True
A,客户报备,设计师,True,True,True,False,False,False
A,客户报备,深化员,True,True,True,False,False,False
A,客户报备,项目经理,True,True,True,False,False,True
A,客户报备,安装主管,True,True,True,False,False,False
A,客户报备,财务,False,True,True,True,False,True
A,客户报备,质检,True,True,True,True,False,True
A,客户报备,系统管理员,True,True,True,True,True,True
B,立项,销售,True,True,True,False,False,False
B,立项,销售主管,True,True,True,True,False,True
B,立项,设计师,True,True,True,False,False,False
B,立项,深化员,True,True,True,False,False,False
B,立项,项目经理,True,True,True,False,False,True
B,立项,安装主管,True,True,True,False,False,False
B,立项,财务,False,True,True,True,False,True
B,立项,质检,True,True,True,True,False,True
B,立项,系统管理员,True,True,True,True,True,True
C,方案报价,销售,True,True,True,False,False,False
C,方案报价,销售主管,True,True,True,True,False,True
C,方案报价,设计师,True,True,True,False,False,False
C,方案报价,深化员,True,True,True,False,False,False
C,方案报价,项目经理,True,True,True,False,False,True
C,方案报价,安装主管,True,True,True,False,False,False
C,方案报价,财务,False,True,True,True,False,True
C,方案报价,质检,True,True,True,True,False,True
C,方案报价,系统管理员,True,True,True,True,True,True
D,会审审批,销售,True,True,True,False,False,False
D,会审审批,销售主管,True,True,True,True,False,True
D,会审审批,设计师,True,True,True,False,False,False
D,会审审批,深化员,True,True,True,False,False,False
D,会审审批,项目经理,True,True,True,False,False,True
D,会审审批,安装主管,True,True,True,False,False,False
D,会审审批,财务,False,True,True,True,False,True
D,会审审批,质检,True,True,True,True,False,True
D,会审审批,系统管理员,True,True,True,True,True,True
E,跟进谈单,销售,True,True,True,False,False,False
E,跟进谈单,销售主管,True,True,True,True,False,True
E,跟进谈单,设计师,True,True,True,False,False,False
E,跟进谈单,深化员,True,True,True,False,False,False
E,跟进谈单,项目经理,True,True,True,False,False,True
E,跟进谈单,安装主管,True,True,True,False,False,False
E,跟进谈单,财务,False,True,True,True,False,True
E,跟进谈单,质检,True,True,True,True,False,True
E,跟进谈单,系统管理员,True,True,True,True,True,True
F,结果判定,销售,True,True,True,False,False,False
F,结果判定,销售主管,True,True,True,True,False,True
F,结果判定,设计师,True,True,True,False,False,False
F,结果判定,深化员,True,True,True,False,False,False
F,结果判定,项目经理,True,True,True,False,False,True
F,结果判定,安装主管,True,True,True,False,False,False
F,结果判定,财务,False,True,True,True,False,True
F,结果判定,质检,True,True,True,True,False,True
F,结果判定,系统管理员,True,True,True,True,True,True
G,转售后建档,销售,True,True,True,False,False,False
G,转售后建档,销售主管,True,True,True,True,False,True
G,转售后建档,设计师,True,True,True,False,False,False
G,转售后建档,深化员,True,True,True,False,False,False
G,转售后建档,项目经理,True,True,True,False,False,True
G,转售后建档,安装主管,True,True,True,False,False,False
G,转售后建档,财务,False,True,True,True,False,True
G,转售后建档,质检,True,True,True,True,False,True
G,转售后建档,系统管理员,True,True,True,True,True,True
H,分派人员,销售,True,True,True,False,False,False
H,分派人员,销售主管,True,True,True,True,False,True
H,分派人员,设计师,True,True,True,False,False,False
H,分派人员,深化员,True,True,True,False,False,False
H,分派人员,项目经理,True,True,True,False,False,True
H,分派人员,安装主管,True,True,True,False,False,False
H,分派人员,财务,False,True,True,True,False,True
H,分派人员,质检,True,True,True,True,False,True
H,分派人员,系统管理员,True,True,True,True,True,True
I,工地交底,销售,True,True,True,False,False,False
I,工地交底,销售主管,True,True,True,True,False,True
I,工地交底,设计师,True,True,True,False,False,False
I,工地交底,深化员,True,True,True,False,False,False
I,工地交底,项目经理,True,True,True,False,False,True
I,工地交底,安装主管,True,True,True,False,False,False
I,工地交底,财务,False,True,True,True,False,True
I,工地交底,质检,True,True,True,True,False,True
I,工地交底,系统管理员,True,True,True,True,True,True
J,绘图下单,销售,True,True,True,False,False,False
J,绘图下单,销售主管,True,True,True,True,False,True
J,绘图下单,设计师,True,True,True,False,False,False
J,绘图下单,深化员,True,True,True,False,False,False
J,绘图下单,项目经理,True,True,True,False,False,True
J,绘图下单,安装主管,True,True,True,False,False,False
J,绘图下单,财务,False,True,True,True,False,True
J,绘图下单,质检,True,True,True,True,False,True
J,绘图下单,系统管理员,True,True,True,True,True,True
K,安装,销售,True,True,True,False,False,False
K,安装,销售主管,True,True,True,True,False,True
K,安装,设计师,True,True,True,False,False,False
K,安装,深化员,True,True,True,False,False,False
K,安装,项目经理,True,True,True,False,False,True
K,安装,安装主管,True,True,True,False,False,False
K,安装,财务,False,True,True,True,False,True
K,安装,质检,True,True,True,True,False,True
K,安装,系统管理员,True,True,True,True,True,True
L,内部验收,销售,True,True,True,False,False,False
L,内部验收,销售主管,True,True,True,True,False,True
L,内部验收,设计师,True,True,True,False,False,False
L,内部验收,深化员,True,True,True,False,False,False
L,内部验收,项目经理,True,True,True,False,False,True
L,内部验收,安装主管,True,True,True,False,False,False
L,内部验收,财务,False,True,True,True,False,True
L,内部验收,质检,True,True,True,True,False,True
L,内部验收,系统管理员,True,True,True,True,True,True
M,客户交付,销售,True,True,True,False,False,False
M,客户交付,销售主管,True,True,True,True,False,True
M,客户交付,设计师,True,True,True,False,False,False
M,客户交付,深化员,True,True,True,False,False,False
M,客户交付,项目经理,True,True,True,False,False,True
M,客户交付,安装主管,True,True,True,False,False,False
M,客户交付,财务,False,True,True,True,False,True
M,客户交付,质检,True,True,True,True,False,True
M,客户交付,系统管理员,True,True,True,True,True,True
